Taxon,MorphogroupID,CladeID,SpecimenID,HerbariumSheetID,Elevation,Latitude,Longitude,LAMLEN,LAMWID,PEDLEN,OVALEN,CALYTUBLEN,CALLOBLEN,PETLEN,PETWID,FILLEN,STYLEN
resinosa,24,III,DS10955,MO3303829,2879,-9.45,-77.85,33.33,12,3.48,1.8,0.92,0.56,5.56,3.4,3.7,3.8
resinosa,24,III,DS10236,MO3314959,3450,-9.633333333,-77.2,37.5,8.8,2.86,2.7,1.2,0.55,5.5,2.85,3.33,2.7
resinosa,24,III,CP1050,US1776355,2600,-2.861388889,-78.93555556,40.67,8.33,3.02,1.69,0.7,0.68,5.49,2.57,2.67,2.93
resinosa,24,III,FZ182,MOUNM_FZ182,3566,-13.17722222,-72.28988889,31,10.67,2.13,1.79,0.9,0.87,5.49,3,3.6,2.9
resinosa,24,III,FZ180,MOUNM_FZ180,3694,-13.16013889,-72.28025,45.33,10.33,2.75,1.9,0.96,0.87,5.48,3.4,3.86,3.46
resinosa,24,III,CO527,US1952577,3200,-11.72444444,-75.10694444,40.33,9.33,2.4,1.58,0.81,0.51,5.47,2.7,3.85,3.4
piurensis,24,III,AS10370,MO2977758,3300,-7.355277778,-78.90083333,25,11.12,3.2,1.8,0.8,0.5,5.45,3,3.1,3.2
resinosa,24,III,FZ310,MOUNM_FZ310,3045,-17.82777778,-64.78361111,35.33,9.33,2.06,1.7,0.82,0.4,5.41,2.89,3.7,3.3
resinosa,24,III,JW7805,K145,2900,-19.14611111,-65.32694444,26.67,6.67,2.36,1.46,0.88,0.45,5.36,2.89,3.11,3.07
piurensis,24,III,SL123,MO5788375,2500,-7.998055556,-78.64666667,24,9.67,4.08,1.61,0.73,0.47,5.3,3.05,3,2.7
resinosa,24,III,MC4122,US1986034,3200,-18.98277778,-65.36666667,26.67,5.67,2.71,1.44,0.9,0.58,5.28,2.77,3.9,3.6
resinosa,24,III,DS10599,MO3314954,3600,-9.016666667,-77.05,22.67,7,2.41,1.49,0.89,0.49,5.26,2.72,2.98,2.7
piurensis,24,III,FZ236,MO6280717,2709,-7.328138889,-78.81075,40.67,13.67,2.64,1.78,0.71,0.5,5.24,2.51,3.2,2.9
resinosa,24,III,DS3356,MO3413756,3400,-8.333333333,-78.08333333,33.67,8.33,3.27,1.89,1,0.59,5.2,2.89,2.92,2.99
resinosa,24,III,FP14405,US1340811,3200,-11.43361111,-76.60805556,38.33,12.67,4.06,1.86,0.92,0.9,5.14,2.87,3.5,3.1
resinosa,24,III,FZ167,MOUNM_FZ167,3317,-13.54269444,-71.94147222,41.33,9,2.37,1.74,0.89,0.48,5.13,2.91,3.8,3.4
resinosa,24,III,EBB6926,UC683109,3300,-13.38333333,-73.88333333,39,8,2.13,1.73,0.75,0.45,5.06,2.58,3.5,3
piurensis,24,III,FZ240,MO6280709,2709,-7.328138889,-78.81075,37,11.17,2.25,1.72,0.84,0.43,5.03,2.9,3,3
resinosa,24,III,EB572,MO6030395,2800,-21.48277778,-65.03277778,23.33,7.67,2.47,1.75,1,0.47,5,2.94,2.8,2
piurensis,24,III,FZ211,MO6280713,2818,-6.784972222,-77.93680556,44.67,12.67,2.3,1.68,0.9,0.55,4.95,2.45,3,3
resinosa,24,III,FZ183,MOUNM_FZ183,3566,-13.17722222,-72.28988889,31.67,10,1.73,1.7,0.95,0.63,4.93,3.03,3.2,2.3
resinosa,24,III,FZ174,MOUNM_FZ174,3553,-14.08213889,-71.36888889,41,7.67,2.35,1.47,0.8,0.47,4.79,2.36,2.82,2.55
resinosa,24,III,AG23305,MO27344002,3220,-14.47416667,-73.23972222,33,7,1.89,1.56,0.85,0.57,4.78,2.46,4.1,4
resinosa,24,III,FZ191,MOUNM_FZ191,2942,-13.29733333,-71.59694444,42.33,9.67,2.35,1.65,0.88,0.51,4.66,2.74,3.4,2.6
resinosa,24,III,MM2032,MO5689934,2250,-17.95,-65.31666667,25.67,7.33,2.06,1.22,0.73,0.52,4.61,2.37,2,1.74
resinosa,24,III,FW5273,MO1752070,2200,-9.805277778,-75.87638889,42,13,2.64,1.63,0.89,0.5,4.58,2.49,2.64,2.5
resinosa,24,III,FZ287,MOUNM_FZ287,2800,-17.84027778,-65.45,33,7.33,3.23,1.3,0.7,0.4,4.51,2.61,3,2.8
resinosa,24,III,HS10647,F1076429,3000,-13.6,-72.85,36.67,8,2.99,1.42,0.77,0.45,4.49,2.52,2.67,2.27
piurensis,24,III,FZ208,MO6280710,2818,-6.784972222,-77.93680556,37.33,10,0,0,0,0,0,0,,
piurensis,24,III,FZ209,MO6280715,2818,-6.784972222,-77.93680556,42,10.33,0,0,0,0,0,0,,
piurensis,24,III,FZ210,MO6280716,2818,-6.784972222,-77.93680556,42.67,12,0,0,0,0,0,0,,
piurensis,24,III,FZ237,MO6280714,2709,-7.328138889,-78.81075,41.33,12.67,0,0,0,0,0,0,,
piurensis,24,III,FZ238,MO6280718,2709,-7.328138889,-78.81075,33.33,11.67,0,0,0,0,0,0,,
resinosa,24,III,FZ162,MOUNM_FZ162,3629,-13.50383333,-71.9805,52.67,11,0,0,0,0,0,0,,
resinosa,24,III,FZ164,MOUNM_FZ164,3776,-13.48752778,-71.9905,44.33,9.33,0,0,0,0,0,0,,
resinosa,24,III,FZ166,MOUNM_FZ166,3350,-13.54597222,-71.943,41,8.67,0,0,0,0,0,0,,
resinosa,24,III,FZ173,MOUNM_FZ173,3553,-14.08213889,-71.36888889,41,7.67,0,0,0,0,0,0,,
resinosa,24,III,FZ175,MOUNM_FZ175,3553,-14.08213889,-71.36888889,38,6.67,0,0,0,0,0,0,,
resinosa,24,III,FZ185,MOUNM_FZ185,3212,-13.1985,-72.29644444,35.37,9.67,0,0,0,0,0,0,,
resinosa,24,III,FZ277,MOUNM_FZ277,3352,-17.79208333,-65.48758333,27.17,8.17,0,0,0,0,0,0,,
resinosa,24,III,FZ278,MOUNM_FZ278,3352,-17.79208333,-65.48758333,26,7.17,0,0,0,0,0,0,,
resinosa,24,III,FZ279,MOUNM_FZ279,3352,-17.79208333,-65.48758333,24,6.67,0,0,0,0,0,0,,
resinosa,24,III,FZ282,MOUNM_FZ282,3150,-17.81333333,-65.47305556,31.67,6.5,0,0,0,0,0,0,,
resinosa,24,III,FZ303,MOUNM_FZ303,2598,-17.84583333,-64.62666667,28.33,8.67,0,0,0,0,0,0,,
resinosa,24,III,FZ309,MOUNM_FZ309,3030,-17.82080556,-64.76797222,30,8.83,0,0,0,0,0,0,,
resinosa,24,III,FZ315,MOUNM_FZ315,3024,-17.75197222,-65.02422222,25.33,8,0,0,0,0,0,0,,
reticulata,25,III,IV1724,MY_IV1724,2050,-18.51666667,-64.09666667,71,21.67,4.95,1.57,0.63,0.2,4.2,2.33,2.65,2.63
reticulata,25,III,SB9811,L424,1600,-19.81138889,-63.71972222,74,28,6.26,1.69,0.69,0.24,4.17,2.7,2.66,2.73
reticulata,25,III,AL360,MOUNM_AL360,1540,-19.81444444,-63.71944444,75.67,26.67,4.64,1.63,0.66,0.3,3.95,2.62,2,2.05
reticulata,25,III,FZ299,MOUNM_FZ299,1858,-18.18077778,-63.84244444,62,20.33,4.82,1.53,0.64,0.22,3.9,2.26,2,2
reticulata,25,III,IV745,MO4403723,1450,-18.11666667,-63.61666667,58.33,26.33,5.32,1.68,0.65,0.22,3.73,2.36,2.25,2.2
reticulata,25,III,GH2022,MO4227451,1300,-18.18833333,-63.73333333,75.67,25.33,4.79,1.58,0.63,0.21,3.63,2.23,2.45,2.5
reticulata,25,III,MS4032,NY_MS4032,1300,-17.11666667,-63.61666667,55.67,27,5.27,1.56,0.51,0.19,3.58,2.25,1.93,1.94
reticulata,25,III,MS4946,MO4852036,1880,-18.08333333,-63.91666667,68.67,28.33,5.26,1.55,0.65,0.24,3.55,2.49,2.27,2.3
reticulata,25,III,AJ3357,MO5869029,2400,-17.81194444,-64.62722222,61.33,15,5.08,1.58,0.61,0.2,3.15,1.93,1.66,1.7
reticulata,25,III,JS8203,MO982829,1500,-18.16694444,-63.66138889,59.53,19.06,4.72,1.3,0.7,0.24,3.12,2.18,1.87,1.8
reticulata,25,III,RB19296,US3368790,2100,-18.75,-63.83333333,61.33,22,4.68,1.46,0.6,0.2,3.12,2.07,2,2
reticulata,25,III,AJ2794,NY_AJ2794,2400,-17.85605556,-64.35866667,62,22.33,0,0,0,0,0,0,,
reticulata,25,III,FZ293,MOUNM_FZ293,1707,-18.17491667,-63.83616667,70.67,24.33,0,0,0,0,0,0,,
reticulata,25,III,FZ294,MOUNM_FZ294,1701,-18.17619444,-63.83527778,80,23.67,0,0,0,0,0,0,,
reticulata,25,III,FZ295,MOUNM_FZ295,1885,-18.17577778,-63.82022222,76,24.33,0,0,0,0,0,0,,
reticulata,25,III,FZ296,MOUNM_FZ296,1868,-18.17641667,-63.82252778,73.67,27.33,0,0,0,0,0,0,,
reticulata,25,III,FZ297,MOUNM_FZ297,1701,-18.17875,-63.83052778,76,26.33,0,0,0,0,0,0,,
reticulata,25,III,FZ298,MOUNM_FZ298,1941,-18.17841667,-63.82230556,70,23.67,0,0,0,0,0,0,,
reticulata,25,III,FZ300,MOUNM_FZ300,1860,-18.18083333,-63.84244444,68.33,21,0,0,0,0,0,0,,
reticulata,25,III,FZ301,MOUNM_FZ301,1862,-18.18069444,-63.8425,78.33,24,0,0,0,0,0,0,,
reticulata,25,III,FZ302,MOUNM_FZ302,1877,-18.18083333,-63.84244444,65,22,0,0,0,0,0,0,,
schreiteri,29,III,MC5281,L622,2700,-19.05,-65.2,57.33,9.33,4.08,1.55,0.67,0.25,8.16,2.18,5.5,5.22
schreiteri,29,III,LN3807,MO3863137,1700,-24.71277778,-65.5,52.33,14.67,4.72,1.52,0.69,0.26,8.01,2.33,5.23,5.41
schreiteri,29,III,WB6793,NY_WB6793,2800,-17.33333333,-66.13333333,57.67,8.33,3.27,1.9,0.62,0.26,7.82,2.36,4.95,5.7
schreiteri,29,III,JS8624,MO982831,2800,-17.72638889,-65.15694444,66.5,10.25,2.83,1.59,0.66,0.22,7.68,2.55,4.7,4.98
schreiteri,29,III,NL58,MO5785606,1600,-17.85777778,-64.62694444,48.67,11.67,6.1,1.73,0.75,0.3,6.9,2.39,5.1,5.2
schreiteri,29,III,FZ313,MOUNM_FZ313,2885,-17.73861111,-64.9575,55.67,11.33,5,1.8,0.66,0.24,6.69,2.07,4.2,4.7
schreiteri,29,III,SB9352,L618,2400,-19.35,-64.25,47,9.17,3.93,1.53,0.69,0.26,6.63,2.47,4.5,4.82
schreiteri,29,III,FZ312,MOUNM_FZ312,2814,-17.73838889,-64.95744444,59.67,9.67,5.3,1.72,0.6,0.24,6.56,2.05,4.05,4.3
schreiteri,29,III,FZ314,MOUNM_FZ314,2954,-17.74319444,-64.97341667,54.33,10.33,5.08,1.71,0.69,0.25,6.51,2.17,4,4.2
schreiteri,29,III,JS10947,MO3218582,1850,-21.41666667,-64.28333333,49.67,9.33,5.3,1.55,0.61,0.27,6.49,2.13,4,4.2
schreiteri,29,III,FZ292,MOUNM_FZ292,2724,-17.84777778,-65.45361111,52.67,10.67,5.03,1.56,0.61,0.26,6.37,2.13,4.21,4.4
schreiteri,29,III,FV7657,NY_FV7657,1750,-24.875,-65.69583333,45,9.67,5.29,1.7,0.66,0.26,5.82,2.05,3.9,4.18
schreiteri,29,III,WR1529,F_WR1529,2800,-13.51666667,-72.56666667,42.33,11.17,3.37,1.67,0.7,0.25,5.68,2.83,3.4,3.9
schreiteri,29,III,FZ283,MOUNM_FZ283,2876,-17.83813889,-65.44902778,60.33,13.67,0,0,0,0,0,0,,
schreiteri,29,III,FZ284,MOUNM_FZ284,2876,-17.83833333,-65.44902778,62.67,12.67,0,0,0,0,0,0,,
schreiteri,29,III,FZ285,MOUNM_FZ285,2876,-17.83813889,-65.44916667,69,12.5,0,0,0,0,0,0,,
schreiteri,29,III,FZ286,MOUNM_FZ286,2757,-17.84027778,-65.45,63.33,13.33,0,0,0,0,0,0,,
schreiteri,29,III,FZ288,MOUNM_FZ288,2756,-17.84316667,-65.46086111,74,12.33,0,0,0,0,0,0,,
schreiteri,29,III,FZU10132A,MO6265710,1625,-24.89111111,-65.67555556,55.17,14.89,0,0,0,0,0,0,,
schreiteri,29,III,FZU10272,MO6274663,1670,-23.64833333,-64.93666667,61.69,16.17,0,0,0,0,0,0,,
schreiteri,29,III,FZU10403,MO6276789,2050,-21.45861111,-64.33833333,66.3,14.6,0,0,0,0,0,0,,
myrtilloides,17,IV,FZ193,MOUNM_FZ193,3445,-13.20111111,-71.64083333,19.67,10.33,5.67,2.93,3.65,3.97,16.18,4.76,9.9,10.5
myrtilloides,17,IV,AL7565,MO2272745,3800,-9.3725,-77.24166667,19,8,4.2,2.6,2.21,3.13,15.12,4.33,8.95,8
myrtilloides,17,IV,NL221,MOUNM_NL221,2900,-17.78916667,-64.71944444,18.67,10.67,4.4,2.9,2.73,4.03,14.27,4.35,10,10
myrtilloides,17,IV,LV5937,MOUNM_LV5937,3000,-12.55,-72,30.33,18,4.5,3.5,4,5,14.25,4.9,8.77,8.4
myrtilloides,17,IV,JB42556,MO5695960,3250,0.233333333,-78.16666667,17,7.67,2.47,2.07,2.14,3.23,13.1,4.23,8.8,8.3
myrtilloides,17,IV,WF547,MO5903730,3650,-13.255,-71.60555556,18.85,11.17,2.52,2.51,3.1,3.89,12.99,4.97,7.93,6.49
myrtilloides,17,IV,FZ195,MO6354367,3448,-13.20083333,-71.64055556,22.7,10.66,3,1.8,2.6,2.5,12.98,4.05,8.5,7.97
myrtilloides,17,IV,AF8711,MOUNM_AF8711,3300,-14.655,-68.96305556,19,7.33,4.33,2.31,2.36,3.07,12.9,4.99,8.2,8.13
myrtilloides,17,IV,FZ252,MOUNM_FZ252,2351,-5.38,-79.55722222,25.33,11.67,5.2,2.8,2.2,3.7,12.88,3.95,7.6,8.72
myrtilloides,17,IV,IS4874,F2146728,2500,-6.260277778,-78.69805556,19.67,10,2.11,2.61,2.75,3.15,12.66,4.63,8.7,8.4
myrtilloides,17,IV,JC24502,K210,3260,10.78222222,-73.5,17,7.33,1.5,1.77,2.04,2.79,12.48,3.97,6.55,6.6
myrtilloides,17,IV,JS52404,F1335237,3400,-0.206666667,-78.55416667,27,12.17,3.3,2.08,1.96,3.39,12.24,4.08,8,7.2
myrtilloides,17,IV,WD1937,MO3740306,3300,3.8,-75.93333333,18.28,10.36,2.85,2.63,3.63,3.63,12.18,5.36,7.73,6.9
myrtilloides,17,IV,AC3134,NY_AC3134,3500,4.566666667,-74.03333333,14.67,5,2.96,2.29,2.08,2.45,12.01,4.18,7.38,7.1
myrtilloides,17,IV,FZ192,MO6354369,3445,-13.20111111,-71.64083333,22.21,11.32,4.05,2.3,2,2.5,11.92,3.68,8.8,8.1
myrtilloides,17,IV,FZ253,MO6354134,2360,-5.38,-79.55722222,21.19,11.23,2.5,1.81,2,2.5,11.86,3.91,7,6.7
myrtilloides,17,IV,CU1449,MO6087458,2926,-2.937222222,-78.71166667,18.33,11,2.83,1.98,2.85,3.4,11.53,3.68,7.8,8.36
myrtilloides,17,IV,FZ213,MOUNM_FZ213,3398,-6.759444444,-77.88972222,16.67,8.83,2.91,2.16,2.35,3.47,11.46,3.63,7.64,7.54
myrtilloides,17,IV,TN78,NY_TN78,3750,-0.033333333,-78.25,11.67,7.5,2.6,2,2.12,3.3,11.43,3.65,6.2,6.1
myrtilloides,17,IV,ML38831,MO5689910,3300,-16.8,-67.28333333,17,7.67,3.92,2.15,2.65,3.05,11.35,4.03,7.3,7.45
myrtilloides,17,IV,AB3728,US2831869,3100,7.266666667,-72.91666667,14.33,7.33,1.83,2.14,1.57,2.1,11.12,3.86,6.8,6.5
myrtilloides,17,IV,JS17503,MO4052294,3700,-16.58333333,-67.71666667,8.89,4.82,2.3,1.84,1.72,2.15,10.82,3.35,7.02,5.49
myrtilloides,17,IV,GL3349,MO4852053,3000,-4.111111111,-79.17638889,23.67,10,3.2,2.4,2.7,2.8,10.77,3.26,8.83,8.75
myrtilloides,17,IV,FL7708,US1360190,3500,2.524722222,-76.18638889,19.33,8.17,2.29,2.03,1.64,2.9,10.45,3.95,5.3,6.09
myrtilloides,17,IV,AM8010,MOUNM_AM8010,3250,-10.2,-75.38333333,14,6.5,2.7,2.42,2.25,2.71,10.42,3.22,7.1,6.7
myrtilloides,17,IV,PHV7207,NY_PH7207,3370,-17.66666667,-70,10.67,4.33,2.33,2.09,1.67,2.55,10.28,3.63,7,7.67
myrtilloides,17,IV,RG102,F2176315,2520,9.879722222,-83.90833333,23.67,8.5,3.01,2.48,2.13,3.58,10.2,3.1,6,5
myrtilloides,17,IV,IH8484,MOUNM_IH8484,3800,-14.69277778,-71.2825,10,4.5,0.93,1.89,1.82,2.17,10.19,2.81,6.11,6.3
myrtilloides,17,IV,FZ328,MOUNM_FZ328,3827,-16.38944444,-71.44416667,14.67,5.83,1.32,1.99,1.87,2.57,10,3.52,6,6.6
myrtilloides,17,IV,DS10115,MO3314958,4100,-9.7,-77.31666667,6.68,3.93,1,2.05,1.45,2.87,9.95,3.1,5.01,3.78
myrtilloides,17,IV,PG560,US2322494,2900,6.416666667,-72.3,10.67,5.5,2.13,1.7,1.76,1.57,9.79,3.51,7,7
myrtilloides,17,IV,RO334,MOUNM_RO334,2900,10.12222222,-84.10138889,23.33,9.83,3.5,1.8,1.6,2.1,9.64,3.7,5.34,4.8
myrtilloides,17,IV,FZ169,MO6354357,3902,-14.0575,-71.33361111,11.51,4.54,2,2.3,1.7,2.5,9.6,2.8,6.3,6
myrtilloides,17,IV,FZ177,MOUNM_FZ177,3727,-13.1575,-72.27777778,15,6.67,1.73,2.42,1.55,2.74,9.49,3.77,6.71,6.7
myrtilloides,17,IV,JL12782,MO5695966,3750,1.116666667,-77.66666667,15.67,7.17,2.1,2,1.38,2.78,9.41,3.27,5.6,5.56
myrtilloides,17,IV,JC25054,F2154084,3100,10.36288889,-72.94913889,13.83,7.17,1.17,1.93,1.94,2.88,9.34,3.39,5.03,5
myrtilloides,17,IV,FZ263,MO6299012,3416,-16.31472222,-67.92416667,13.55,7.79,3.2,2.1,1.9,2.5,9.22,3.3,5.1,5.4
myrtilloides,17,IV,NR2822,MO5689916,3650,-17.26916667,-66.32777778,10.67,4.8,2.2,1.86,1.57,2.32,9.19,3.42,5.4,5.4
myrtilloides,17,IV,GD10288,NY_GD10288,3100,8.806666667,-82.53611111,17.33,7.33,3.1,2.77,1.6,3.57,9.15,3.28,5.5,5.5
myrtilloides,17,IV,LV854,MO5863474,3400,-12.94444444,-72.83888889,8.67,5.33,2.29,1.95,2.2,2.45,8.94,3.35,5.2,5.56
myrtilloides,17,IV,FZ181,MO6354365,3566,-13.17722222,-72.29,13.96,5.93,2.67,1.6,1.7,2.5,8.87,2.8,5.4,5.09
myrtilloides,17,IV,RW10639,F1674302,2700,10.18972222,-84.22972222,21.33,8,3.23,1.63,1.35,1.97,8.74,3.01,6,5.78
myrtilloides,17,IV,FZ176,MO6354361,3732,-13.15805556,-72.27805556,11.74,4.94,2,1.6,1.61,2.2,8.56,2.78,5.45,6
myrtilloides,17,IV,GL3124,MO4852042,3550,-3.723888889,-79.33638889,10.67,6.33,2.97,2.1,2.71,3.25,8.55,2.63,6.2,6.33
myrtilloides,17,IV,PJ92172,MO5050987,3450,-4.733333333,-79.41666667,8.83,4.5,2.9,2.6,1.76,2.2,8.48,2.65,5.4,5.6
myrtilloides,17,IV,FL4756,US1360264,3450,2.525,-76.18666667,8.67,4.83,2.07,1.7,1.55,2.46,8.38,2.82,5.15,5.79
myrtilloides,17,IV,FZ219,MOUNM_FZ219,3600,-6.744444444,-77.88055556,8.67,5.33,2.53,2.5,2.26,2.4,8.38,2.2,5.22,5.82
myrtilloides,17,IV,FG3239,NY_FG3239,3000,5.65,-73.31666667,10.83,4.67,1.28,1.87,1.66,1.97,8.37,2.85,5.1,5
myrtilloides,17,IV,LA2584,F1452311,3200,8.586388889,-71.005,14.33,8.17,1.5,1.7,1.38,2.26,8.25,3.13,4.6,4.52
myrtilloides,17,IV,FZ197,MOUNM_FZ197,3490,-13.19944444,-71.62472222,10.33,5.67,2.33,2.5,1.5,2.39,8.22,2.52,4.9,5.45
myrtilloides,17,IV,FZ184,MO6354364,3566,-13.17736111,-72.28972222,11.89,5.43,1.66,1.82,1.6,2.5,8.17,2.88,5.7,5.5
myrtilloides,17,IV,JB42865,MO4852043,3590,-1.116666667,-78.91666667,10.33,6.83,2.23,2.07,1.77,2.4,8.16,3.37,4,4.42
myrtilloides,17,IV,JW7766,K244,3400,-18.96666667,-65.4,10.33,5.83,1.97,1.72,1.55,1.75,8.08,2.89,4.8,5.1
myrtilloides,17,IV,FZ318,MOUNM_FZ318,3830,-16.19805556,-68.12222222,8.67,4.17,1.38,1.85,1.49,1.6,8.02,2.89,5,4.7
myrtilloides,17,IV,HS3834,L336,3550,-22.28333333,-64.86666667,8.33,5,2,1.9,1.5,2.1,7.97,2.65,5.4,5.6
myrtilloides,17,IV,BO8614,MO2809855,3700,0.333333333,-78,7.67,5.83,1.93,2,1.48,1.8,7.81,2.34,5.5,6.6
myrtilloides,17,IV,FZ170,MO6354358,3900,-14.05805556,-71.33361111,11.56,6.45,3,1.9,1.9,2.7,7.76,2.4,4.3,4
myrtilloides,17,IV,MD2942,F1927606,3550,-7.195277778,-78.57,6.83,3.83,1.26,2.05,1.62,2.29,7.7,3.12,4,4.26
myrtilloides,17,IV,JC27370,K216,3800,2.833333333,-76.2025,8.33,5,2.2,1.81,1.47,2.51,7.4,3.3,4.6,4.74
myrtilloides,17,IV,JC23138,F1368086,3800,4.798611111,-75.4175,9.67,5.17,1,1.7,1.8,2.3,7.34,2.61,5,5.5
myrtilloides,17,IV,FZ178,MO6354362,3697,-13.15638889,-72.27944444,12.55,6.83,2.42,1.95,1.73,2.63,7.3,2.5,4.9,4.3
myrtilloides,17,IV,CU1445,MO6087462,3319,-3.105,-79.21722222,8,4.83,3,2.2,2.7,3,7.24,2.73,4.06,4.6
myrtilloides,17,IV,FZ275,MOUNM_FZ275,3676,-17.7375,-65.51472222,9,4.83,1.5,2.15,1.66,1.88,7.08,3.29,4.7,4.4
myrtilloides,17,IV,RD2188,K229,3400,8.59,-71.01527778,11.33,5.83,1.5,1.65,1.7,2.35,6.43,2.3,4.8,4.62
myrtilloides,17,IV,JL13004,NY_JL13004,3700,4.7,-75.33333333,9,4.17,1,1.62,1.45,2.66,6.13,3.02,4,4.2
myrtilloides,17,IV,FZ86,ANDES_6,3197,5.001111111,-74.18305556,14,6.87,0,0,0,0,0,0,0,0
myrtilloides,17,IV,BH23603,MO6661345,2850,9.604083333,-83.82973056,19.99,8.98,0,0,0,0,0,0,,
myrtilloides,17,IV,FZ168,MO6354355,3806,-14.06388889,-71.3375,12.43,5.77,0,0,0,0,0,0,,
myrtilloides,17,IV,FZ171,MO6354359,3796,-14.06527778,-71.33861111,13.21,5.54,0,0,0,0,0,0,,
myrtilloides,17,IV,FZ172,MO6354360,3796,-14.06530556,-71.33875,12.09,5.26,0,0,0,0,0,0,,
myrtilloides,17,IV,FZ179,MO6354363,3694,-13.16027778,-72.28027778,13.68,5.51,0,0,0,0,0,0,,
myrtilloides,17,IV,FZ194,MO6354366,3445,-13.20138889,-71.64083333,19.87,10.7,0,0,0,0,0,0,,
myrtilloides,17,IV,FZ201,MO6354356,3489,-13.20361111,-71.61444444,25.68,13.93,0,0,0,0,0,0,,
myrtilloides,17,IV,FZ250,MO6354135,2353,-5.380555556,-79.55694444,25.91,13.2,0,0,0,0,0,0,,
myrtilloides,17,IV,FZ321,MO6265703,3835,-16.11,-68.074,8.86,5.4,0,0,0,0,0,0,,
polifolia,22,IV,PHV5511,MO01833697,3100,-6.711944444,-77.75666667,19.06,2.65,6.5,2.81,5.55,4.72,15.74,3.77,10.06,6.88
polifolia,22,IV,JL11384,MO5000284,3000,-6.75,-77.8,19.5,2.45,4.85,3.45,3.5,5.71,13.73,3.77,8.16,6.15
