MolecularSampleName,group1,group2
BH23603_E_myrtilloides_Plate5,1,0
CU1445_E_myrtilloides_Plate3,1,0
FZ130_E_myrtilloides_Plate5,1,0
FZ131_E_myrtilloides_Plate1,1,0
FZ132_E_myrtilloides_Plate5,1,0
FZ134_E_myrtilloides_Plate5,1,0
FZ154_E_myrtilloides_Plate5,1,0
FZ168_E_myrtilloides_Plate5,0,1
FZ169_E_myrtilloides_Plate5,0,1
FZ170_E_myrtilloides_Plate5,0,1
FZ171_E_myrtilloides_Plate5,0,1
FZ172_E_myrtilloides_Plate5,0,1
FZ176_E_myrtilloides_Plate5,0,1
FZ177_E_myrtilloides_Plate5,0,1
FZ178_E_myrtilloides_Plate5,0,1
FZ179_E_myrtilloides_Plate1,0,1
FZ181_E_myrtilloides_Plate5,0,1
FZ184_E_myrtilloides_Plate5,0,1
FZ192_E_myrtilloides_Plate5,1,0
FZ193_E_myrtilloides_Plate3,1,0
FZ194_E_myrtilloides_Plate5,1,0
FZ195_E_myrtilloides_Plate5,1,0
FZ197_E_myrtilloides_Plate3,0,1
FZ201_E_myrtilloides_Plate5,1,0
FZ219_E_myrtilloides_Plate1,1,0
FZ223_E_polifolia_Plate3,1,0
FZ224_E_polifolia_Plate1,1,0
FZ225_E_polifolia_Plate3,1,0
FZ226_E_polifolia_Plate1,1,0
FZ250_E_myrtilloides_Plate5,1,0
FZ252_E_myrtilloides_Plate5,1,0
FZ253_E_myrtilloides_Plate5,1,0
FZ263_E_myrtilloides_Plate5,1,0
FZ318_E_myrtilloides_Plate3,0,1
FZ321_E_myrtilloides_Plate1,0.001,0.999
FZ328_E_myrtilloides_Plate3,0.017,0.983
FZ86_E_myrtilloides_Plate3,1,0
FZ87_E_myrtilloides_Plate5,1,0
FZ89_E_myrtilloides_Plate5,1,0
JW7766_E_myrtilloides_Plate3,0.069,0.931
NR2822_E_myrtilloides_Plate3,0.007,0.993
RO334_E_myrtilloides_Plate3,1,0