SampleName,taxon,Latitude,Longitude,Elevation,country,RMavDemes,mPTPgroups,NMMgroups,STRUCTURE,morphologicalSampling,F_miss,chosenForBFD
FZ241_E_micrantha_Plate3,micrantha,-7.074583333,-79.05105556,2124,Peru,deme2,species2,group3,group2,x,0.0688857,1
FZ242_E_micrantha_Plate1,micrantha,-7.074611111,-79.05108333,2124,Peru,deme2,species2,group3,group2,x,0.0411178,0
FZ243_E_micrantha_Plate3,micrantha,-7.072111111,-79.04830556,2118,Peru,deme2,species2,group3,group2,x,0.0525098,0
FZ245A_E_micrantha_Plate1,micrantha,-7.072222222,-79.04833333,2118,Peru,deme2,species2,group3,group2,x,0.0149519,1
FZ289_E_millegrana_Plate1,millegrana,-17.84316667,-65.46086111,2756,Bolivia,deme1,species1,group2,group1,x (leaves only),0.0151299,1
FZ290_E_millegrana_Plate3,millegrana,-17.84361111,-65.46111111,2756,Bolivia,deme1,species1,group2,group1,x (leaves only),0.0177999,0
FZ291_E_millegrana_Plate3,millegrana,-17.84641667,-65.45675,2752,Bolivia,deme1,species1,group2,group1,x (leaves only),0.0459238,0
FZ311_E_millegrana_Plate3,millegrana,-17.74541667,-64.93311111,2663,Bolivia,deme1,species1,group2,group1,x (leaves only),0.0218939,0
FZU10219A_E_millegrana_Plate1,millegrana,-24.23444,-65.07917,1650,Argentina,deme1,species1,group1,group1,x,0.457814,1
FZU10362A_E_millegrana_Plate3,millegrana,-22.31194,-64.71444,1625,Argentina,deme1,species1,group1,group1,x,0.134211,1
FZU10362C_E_millegrana_Plate3,millegrana,-22.31194,-64.71444,1625,Argentina,deme1,species1,group1,group1,,0.0758277,0
FZU10398A_E_millegrana_Plate1,millegrana,-21.44139,-64.38417,2360,Bolivia,deme1,species1,group1,group1,x,0.327163,0
FZU10398D_E_millegrana_Plate3,millegrana,-21.44139,-64.38417,2360,Bolivia,deme1,species1,group1,group1,,0.01157,0
FZU10413_E_millegrana_Plate3,millegrana,-21.46472,-64.14306,1160,Bolivia,deme1,species1,group1,group1,x,0.00961196,1