,Pheno1,Pheno2,Pheno3,Pheno4,Pheno5,Pheno6,Pheno7,Pheno8,Geno1,Geno2,Geno3,Geno4,Geno5,Geno6,Geno7,Geno8,Geno9,Geno10,Geno11
angustifolia,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
bifida,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
farinacea,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
hypoglauca,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
illinita,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
laevis,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ledifolia,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
megapotamica,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
petrophila,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tucumanensis,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0