Clade,Model,Genogroups,Marginal Likelihood ($log_e$),Rank,BF ($2$ x $log_e$)
I,GC,3,-6580.4946,1,
,AC,2,-6754.4946,2,348
,RI,2,-6754.4946,2,348
,,,,,
II,AC,4,-13460.9174,1,
,GC,3,-15036.4383,2,3151.0418
,RI\textsuperscript{a},3,-15036.4383,2,3151.0418
,RI\textsuperscript{b},2,-18963.3424,3,11004.85
,,,,,
III,AC,7,-8985.7823,1,
,RI\textsuperscript{a},5,-10014.26,2,2056.9554
,RI\textsuperscript{b},3,-12233.1315,3,6494.6984
,GC,3,-12233.1315,3,6494.6984
,,,,,
IV,AC,6,-9601.514,1,
,GC,3,-11546.6493,2,3890.2706
,RI\textsuperscript{a},2,-12017.8782,3,4832.7284
,RI\textsuperscript{b},2,-12017.8782,3,4832.7284
,,,,,
V,AC,10,-4588.6929,1,
,GC,6,-5381.361,2,1585.3362
,RI\textsuperscript{a},3,-5601.0577,3,2024.7296
,RI\textsuperscript{b},2,-6085.9979,4,2994.61
,,,,,
VI,AC,11,-2921.0239,1,
,GC,7,-3627.8061,2,1413.5644
,RI\textsuperscript{a},4,-4661.3511,3,3480.6544
,RI\textsuperscript{b},4,-4661.3511,3,3480.6544